Country,2016_Suicide_Rate,2015_Literacy_Rates,2015_Healthcare_Expenditure
Guyana ,30.2,,
Lesotho,28.9,79.4,91
Russia,26.5,99.7,524
Lithuania,25.7,99.8,923
Suriname,23.2,95.6,577
Ivory Coast,23.0,43.1,
Kazakhstan ,22.8,,
Equatorial Guinea,22.0,95.3,280
Belarus ,21.4,,
South Korea ,20.2,,
Uganda,20.0,73.9,46
Cameroon,19.5,75,64
Zimbabwe,19.1,86.5,94
Ukraine,18.5,99.8,125
Nigeria,17.3,59.6,97
Latvia,17.2,99.9,784
Eswatini,16.7,,
Togo,16.6,66.5,37
India,16.5,74.4,63
Uruguay,16.5,98.4,"1,281"
Sierra Leone,16.1,48.1,107
Benin,15.7,38.4,31
Belgium,15.7,,"4,228"
Chad,15.5,40.2,36
Kiribati,15.2,,108
Cape Verde,15.1,,146
Burundi,15.0,85.6,24
Burkina Faso,14.8,36,33
Estonia,14.4,99.8,"1,112"
Japan,14.3,,"3,733"
Sri Lanka,14.2,92.6,118
Sweden,13.8,,"5,600"
Eritrea,13.8,73.8,31
United States,13.7,,"9,536"
Hungary,13.6,99.1,894
El Salvador,13.5,88.4,283
Liberia,13.4,47.6,69
Moldova,13.4,99.4,186
Poland,13.4,99.8,797
Iceland,13.3,,"4,375"
Slovenia,13.3,99.7,"1,772"
Mongolia,13.3,98.4,152
Bolivia,12.9,95.7,197
Thailand,12.9,96.7,217
Trinidad and Tobago,12.9,99,"1,146"
South Africa,12.8,94.4,471
Haiti,12.2,60.7,54
France,12.1,,"4,026"
Nicaragua,11.9,82.8,163
Senegal,11.8,55.7,36
Finland,11.7,,"4,005"
Australia,11.7,,"4,934"
Bhutan,11.6,64.9,91
New Zealand,11.6,,"3,554"
Central African Republic,11.6,36.8,17
Botswana,11.5,88.5,389
Croatia,11.5,99.3,852
Namibia,11.5,81.9,423
Austria,11.4,,"4,536"
Ethiopia,11.4,49.1,24
Switzerland ,11.3,,
Zambia,11.3,63.4,69
F.S. Micronesia,11.3,,
Comoros,11.1,77.8,59
Rwanda,11.0,70.5,57
Serbia,10.9,98.1,491
Ireland,10.9,,"4,757"
North Korea,10.6,,
Guinea,10.5,30.4,25
Czech Republic,10.5,,"1,284"
Dominican Republic,10.5,91.8,384
Dominican Republic,10.5,91.8,397
Canada,10.4,,"4,508"
Luxembourg,10.4,,"6,236"
Norway,10.1,,"7,464"
Cuba,10.1,99.7,
Slovakia,10.1,99.6,"1,108"
Gambia,10.0,55.5,32
Yemen,9.8,70.1,72
Democratic Republic of the Congo,9.7,,20
Chile,9.7,97.3,"1,102"
Nepal,9.6,64.7,44
Netherlands,9.6,,"4,746"
Tanzania,9.6,,
Gabon,9.6,83.2,198
Sudan,9.5,53.5,152
Paraguay,9.3,95.6,321
Laos,9.3,79.9,
Congo,9.3,79.3,59
Denmark,9.2,,"5,497"
Germany,9.1,,"4,592"
Kyrgyzstan,9.1,99.5,92
Argentina,9.1,98.1,998
Niger,9.0,19.1,26
Mali,8.9,38.7,42
Angola,8.9,71.1,109
Ghana,8.7,76.6,80
Portugal,8.6,95.4,"1,722"
Djibouti,8.5,,82
Mozambique ,8.4,,
Somalia,8.3,,
Seychelles,8.3,95.2,492
Myanmar,8.1,75.6,59
China,8.0,96.4,426
Romania,8.0,98.8,442
Singapore,7.9,96.8,"2,280"
Montenegro,7.9,98.7,382
Bulgaria,7.9,98.4,572
Malawi,7.8,65.8,34
United Kingdom,7.6,,"4,356"
Mauritania,7.5,52.1,54
Costa Rica,7.5,97.8,929
Guinea-Bissau,7.4,59.9,39
Uzbekistan,7.4,99.6,134
Mauritius,7.3,90.6,506
Saint Lucia,7.3,,482
Ecuador,7.2,94.5,530
Turkmenistan,7.2,99.7,405
Turkey,7.2,95,455
Papua New Guinea,7.0,64.2,77
Vietnam,7.0,94.5,117
Colombia,7.0,94.7,374
Madagascar,6.9,64.7,21
Georgia,6.7,99.8,281
Malta,6.5,94.1,"2,304"
East Timor,6.4,,
Bosnia and Herzegovina,6.4,98.5,431
Afghanistan ,6.4,,
Malaysia,6.2,94.6,386
North Macedonia,6.2,,295
Bangladesh[b] ,6.1,,
South Sudan,6.1,26.8,28
Spain ,6.1,,
Brazil,6.1,91.7,780
Cambodia,5.9,77.2,70
Solomon Islands,5.9,,152
Belize,5.9,82.7,301
Qatar,5.8,97.8,"2,030"
Bahrain,5.7,95.7,"1,190"
Armenia,5.7,99.8,366
Albania,5.6,97.6,266
Kenya,5.6,78,70
Italy,5.5,99.2,"2,700"
Fiji,5.5,,175
Libya,5.5,91,
Vanuatu,5.4,85.2,99
Samoa,5.4,99,223
Israel,5.2,,"2,756"
Mexico,5.2,94.4,535
Peru,5.1,94.5,323
Brunei,4.5,96.4,812
Cyprus,4.5,99.1,"1,563"
Egypt,4.4,75.2,157
Panama,4.4,95,921
Iraq,4.1,43.7,154
Iran ,4.0,,
Tonga,4.0,99.4,221
Greece,3.8,97.7,"1,505"
Venezuela,3.8,95.4,973
Jordan,3.7,97.9,257
Philippines,3.7,96.3,127
Indonesia,3.7,93.9,112
Oman,3.5,94.8,636
Honduras,3.4,88.5,177
Saudi Arabia,3.4,94.7,"1,194"
Algeria,3.3,80.2,292
Tajikistan,3.3,99.8,63
Tunisia,3.2,81.8,258
Lebanon,3.2,93.9,645
Morocco,3.1,72.4,160
Pakistan[b] ,3.1,,
São Tomé and Príncipe,3.1,74.9,
Guatemala,2.9,79.3,224
Maldives,2.7,99.3,944
United Arab Emirates,2.7,93.8,"1,402"
Azerbaijan,2.6,99.8,368
Syria,2.4,86.4,
Saint Vincent and the Grenadines,2.4,,284
Kuwait,2.2,96.2,"1,169"
Jamaica,2.0,88.7,294
Grenada,1.7,,460
Bahamas,1.6,,"1,685"
Antigua and Barbuda,0.5,,657
Barbados,0.4,,"1,160"
World,,86.3,
Afghanistan,,38.2,60
Bangladesh,,73.9,32
Belarus,,99.7,352
Cabo Verde,,87.6,
"Congo, Democratic Republic of the",,77.3,
Guyana,,88.5,184
Iran,,86.8,366
Kazakhstan,,99.8,379
"Korea, Democratic People's Republic of",,100.,
Macedonia,,97.8,
Mozambique,,58.8,28
Pakistan,,59.1,38
Palau,,99.5,"1,420"
Spain,,98.1,"2,354"
Swaziland,,87.5,233
"Tanzania, United Republic of",,80.3,
Timor-Leste,,67.5,72
Aruba,,97.5,
Guadeloupe,,96.5,
Guam,,99.8,
Macau,,96.2,
Martinique,,97.0,
New Caledonia,,96.9,
Puerto Rico,,93.3,
Réunion,,93.9,
Andorra,,,"4,316"
Cook Islands,,,461
Côte d'Ivoire,,,75
Lao People's Democratic Republic,,,53
Marshall Islands,,,747
Micronesia (Federated States of),,,395
Monaco,,,"3,316"
Nauru,,,812
Niue,,,867
Republic of Korea,,,"2,013"
Saint Kitts and Nevis,,,907
San Marino,,,"3,243"
Sao Tome and Principe,,,160
Switzerland,,,"9,818"
Tuvalu,,,439
United Republic of Tanzania,,,32
